Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Scan,12:16,EncryptedMindMapNode,Class,,,,Navigation,,Java Editor,,
Show Javadoc,12:25,oldIsVisible,Variable,EncryptedMindMapNode,save ,,Navigation,Mouse,Java Editor,,
Scan,12:40,,Stacktrace,,,,Navigation,,Console Window,,
Show Instruction,12:42,,Instruction,NodeAdapter,saveChildren,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Show Instruction,12:47,,Instruction,NodeAdapter,save ,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Scan,12:50,NodeAdapter,Class,,,,Navigation,,Java Editor,,
Show Instruction,13:01,,Instruction,MindMapMapModel,getXml,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,A
Show Instruction,13:04,,Instruction,MindMapMapModel,getXml,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,B
Show Instruction,13:06,,Instruction,MindMapMapModel,getXml,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,C 
Show Instruction,13:11,,Instruction,MindMapMapModel,saveInternal,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Scan,13:11,MindMapMapModel,Class,,,,Navigation,,Java Editor,,
Open Declaration,13:31,logger,Field,MapAdapter,,Declaration,Navigation,Mouse,Java Editor,,
Open Type,13:36,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,13:37,MindMapMapModel,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,13:41,MapAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Declaration,13:50,Logger,Class,,,,Navigation,Mouse,Java Editor,no Sources attached,
Show Javadoc,14:01,Logger,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover ,
Open Type,14:10,MindMapMapModel,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Copy Code,14:31,,Instruction,MindMapMapModel,saveInternal,,Edit Code,Keyboard,Java Editor,,
Open Type,14:33,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Edit Code,14:42,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Edit Code,Keyboard,Java Editor,syso paste copied code,
Open Type,15:11,MindMapMapModel,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,15:12,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Edit Code,15:29,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Edit Code,Keyboard,Java Editor,finish syso,
Open Type,16:04,MapAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,16:04,MapAdapter,Class,,,,Navigation,,Java Editor,,
Back,16:14,ControllerAdapter,Class,,,,Navigation,Mouse,Eclipse,,
Open Type,16:16,MapAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,16:16,MapAdapter,Class,,,,Navigation,,Java Editor,,
Scan,16:23,,Stacktrace,,,,Navigation,,Console Window,,
Show Instruction,16:26,,Instruction,MindMapMapModel,saveInternal,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Show Instruction,16:29,,Instruction,MindMapMapModel,save ,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Scan,16:29,,Instruction,MindMapMapModel,save ,,Navigation,,Java Editor,,
Expand,16:58,freemind.main,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Open Type,17:02,Resources ,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,17:02,Resources ,Class,,,,Navigation,,Java Editor,,
Open Type,17:08,MapAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,17:08,MapAdapter,Class,,,,Navigation,,Java Editor,,
Open Type,17:16,MindMapMapModel,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,17:19,Resources ,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,17:19,Resources ,Class,,,,Navigation,,Java Editor,,
Highlight Field,17:31,resourcesInstance,Field,Resources,,,Navigation,Mouse,Java Editor,,
Highlight Field,17:41,logger,Field,Resources,,,Navigation,Mouse,Java Editor,,
Show Javadoc,17:46,getLogger,Method,FreeMindMain,,,Navigation,Mouse,Java Editor,Mouse Hover ,
Google,18:04,“java util logger”,String,,,,Other,Both,Google Chrome,View Javadoc,
Show Javadoc,18:16,Logger,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover ,
Open Type,18:40,MindMapMapModel,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
